Brand,Variety,Style,Country,Stars,spiciness,spiciness_2,Scoville,continent
Tiger,Onion Flaver Rice Noodle,Bowl,Taiwan,0,pepper free,pepper free,0,Asia
Ve Wong,Kung Fu Artificial Soybean Paste,Pack,Taiwan,4,pepper free,pepper free,0,Asia
Wu Mu,Dried Noodle With BBQ Pork,Pack,Taiwan,2,pepper free,pepper free,0,Asia
Wu Mu,Steamed Noodle Sesame Oil,Pack,Taiwan,3.75,pepper free,mild,"(100, 2500)",Asia
Unif,100 Artificial Spicy Beef,Pack,Taiwan,3.75,spicy,spicy,"(2500, 10000)",Asia
Wei Lih,Good Good Eat Super Ramen Original,Pack,Taiwan,3,pepper free,pepper free,0,Asia
Wu Mu,Steamed Noodle Chinese Herbs,Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
Unif / Tung-I,Instant Bean Vermicelli Shrimp,Pack,Taiwan,1.5,pepper free,pepper free,0,Asia
Unif / Tung-I,Artificial Beef Flavor,Pack,Taiwan,3.75,pepper free,mild,"(100, 2500)",Asia
Wu Mu,Steamed Noodle Garlic & Sesame Oil,Pack,Taiwan,4.5,pepper free,mild,"(100, 2500)",Asia
Unif,100 Furong Shrimp,Pack,Taiwan,3,pepper free,pepper free,0,Asia
Unif / Tung-I,Fresh Shrimp,Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
Ve Wong,Artificial Peppered Beef,Pack,Taiwan,3.5,pepper free,pepper free,0,Asia
Unif,100 Artificial Shallot Chicken,Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
Ve Wong,Artificial Pork & Chicken,Pack,Taiwan,3.4,pepper free,mild,"(100, 2500)",Asia
Ve Wong,Vegetarian Flavor,Pack,Taiwan,3,pepper free,pepper free,0,Asia
Ve Wong,Artificial Sesame Chicken,Pack,Taiwan,4.25,pepper free,pepper free,0,Asia
Unif / Tung-I,Artificial Chinese Beef,Pack,Taiwan,2.85,pepper free,pepper free,0,Asia
Ve Wong,Kung Fu Artificial Onion,Pack,Taiwan,2.75,pepper free,pepper free,0,Asia
Unif / Tung-I,Chah Chiang,Pack,Taiwan,2.5,pepper free,pepper free,0,Asia
Wei Lih,Artificial Beef Flavor,Pack,Taiwan,1,pepper free,mild,"(100, 2500)",Asia
Unif,100 Artificial Stewed Pork Chop,Pack,Taiwan,3.2,pepper free,pepper free,0,Asia
